代號,名稱,當日收盤價,當日買賣超金額(萬元),5日買賣超金額(萬元),1個月買賣超金額(萬元),當日漲幅(%),5日漲幅(%),1個月漲幅(%),當日買超(張),5日買超(張),1個月買超(張)
2409,友達            ,16.850000381469727,331434.09,350456.51,316777.67,5.64,13.85,10.13,196696.785,207986.052,187998.614
8046,南電            ,566.8104248046875,199140.68,252038.94,368968.42,-1.05,-0.18,23.21,3513.356,4446.618,6509.5560000000005
6213,聯茂            ,170.0,148862.69,113351.33,459255.44,4.29,18.06,32.81,8756.629,6667.725,27015.026
2481,強茂            ,93.38819885253906,116944.41,-93338.96,50557.35,7.34,-4.61,5.43,12522.397,-9994.728,5413.676999999998
2344,華邦電          ,91.80000305175781,101498.09,132860.8,-1303885.54,-1.4,-3.87,-17.61,11056.436,14472.854000000003,-142035.457
3167,大量            ,445.5,97275.95,126572.61,29929.36,10.0,27.47,61.41,2183.523,2841.136,671.815
3711,日月光投控      ,361.0,96106.72,32363.65,-597763.73,0.0,0.56,2.12,2662.236,896.4999999999995,-16558.552
2027,大成鋼          ,38.400001525878906,83283.04,-72390.63,-65269.22,3.92,4.92,5.64,21688.291,-18851.725999999995,-16997.191999999995
3443,創意            ,2309.478515625,69233.78,105231.16,478496.0,-1.49,-8.66,-1.49,299.781,455.649,2071.879
2887,台新新光金      ,24.350000381469727,66437.59,129695.07,137600.65,1.25,0.83,-0.81,27284.429,53262.861000000004,56509.50600000001
2891,中信金          ,54.5,65678.01,186898.99,-2345.77,1.49,2.83,5.83,12051.011,34293.392,-430.4170000000013
3533,嘉澤            ,2045.0,60998.46,373149.31,1213409.75,-3.76,-9.91,29.02,298.281,1824.691,5933.544
2337,旺宏            ,129.0,60366.53,207095.43,499330.4,1.57,0.78,20.0,4679.576,16053.909,38707.782999999996
3702,大聯大          ,88.0,50999.73,207716.85,984783.65,-2.11,-7.47,24.47,5795.424,23604.186999999998,111907.23300000001
8039,台虹            ,120.23135375976562,47539.19,54367.72,89319.03,9.91,9.91,22.12,3953.976,4521.925,7428.929999999999
5243,乙盛-KY         ,93.69999694824219,43750.16,54442.98,33242.45,5.4,26.62,25.94,4669.174,5810.349999999999,3547.7539999999995
3189,景碩            ,336.0,43186.65,-71328.67,151189.92,1.2,-4.41,12.94,1285.317,-2122.877,4499.7
2886,兆豐金          ,39.25,41263.23,191723.96,202143.34,0.77,0.38,-0.13,10512.925,48846.87,51501.487
1717,長興            ,61.116146087646484,38825.79,22162.36,-29331.53,3.17,0.49,0.98,6352.787,3626.2690000000002,-4799.309000000002
2383,台光電          ,2785.0,33997.89,-101006.66,-365444.92,-2.62,-5.43,17.76,122.075,-362.68100000000004,-1312.19
